name,party,state,constituency
SHIVJI PRASAD,Right to Recall Party,Jharkhand,Giridih - 6
PRAMOD RAM,Peoples Party of India (Democratic),Jharkhand,Giridih - 6
USHA SINGH,Independent,Jharkhand,Giridih - 6
PAPPU KUMAR NISHAD,Bhartiya Lokmat Rashtrwadi Party,Jharkhand,Giridih - 6
SUBHASH KUMAR THAKUR,Sarv Samaj Party,Jharkhand,Giridih - 6
NISHIKANT DUBEY,Bharatiya Janata Party,Jharkhand,Godda - 3
PRADEEP YADAV,Indian National Congress,Jharkhand,Godda - 3
UDAY SHANKAR KHAWARE,Independent,Jharkhand,Godda - 3
ARUN MARIK,Independent,Jharkhand,Godda - 3
NILESH KUMAR GUPTA,Independent,Jharkhand,Godda - 3
AVISEK ANAND JHA,Independent,Jharkhand,Godda - 3
BAJRANGI MAHTHA,Bahujan Samaj Party,Jharkhand,Godda - 3
MUKESH KUMAR JHA,Independent,Jharkhand,Godda - 3
KUMARI DILESHWARI,Ambedkarite Party of India,Jharkhand,Godda - 3
RAMESHWAR MANDAL,Peoples Party of India (Democratic),Jharkhand,Godda - 3
SURAJ KUMAR AMAN,Bhagidari Party(P),Jharkhand,Godda - 3
ARUN KUMAR,Nyaydharmsabha,Jharkhand,Godda - 3
DR. K. RANGAIAH,Independent,Jharkhand,Godda - 3
BRAJKISHORE PANDIT,Akhil Bhartiya Manavadhikar Vichar Manch Party,Jharkhand,Godda - 3
ANUP KUMAR,"Proutist Bloc, India",Jharkhand,Godda - 3
KALIPADA MURMU,Socialist Unity Centre Of India (COMMUNIST),Jharkhand,Godda - 3
KETAN KUMAR,Right to Recall Party,Jharkhand,Godda - 3
TIPLAL SAH,Lokhit Adhikar Party,Jharkhand,Godda - 3
GYANESHWAR JHA,Jagrook Janta Party,Jharkhand,Godda - 3
MANISH JAISWAL,Bharatiya Janata Party,Jharkhand,Hazaribagh - 14
JAI PRAKASH BHAI PATEL,Indian National Congress,Jharkhand,Hazaribagh - 14
SANJAY KUMAR MEHTA,Independent,Jharkhand,Hazaribagh - 14
SHASHI BHUSHAN KESHRI,Independent,Jharkhand,Hazaribagh - 14
ANIRUDDH KUMAR,Communist Party of India,Jharkhand,Hazaribagh - 14
MD. MOIN UDDIN AHMAD,Bahujan Samaj Party,Jharkhand,Hazaribagh - 14
MD. SERAJ,Independent,Jharkhand,Hazaribagh - 14
VINOD KUMAR RANA,Independent,Jharkhand,Hazaribagh - 14
KUNJ BIHARI KUMAR,Lokhit Adhikar Party,Jharkhand,Hazaribagh - 14
CHHATHI DEVI,Akhil Bhartiya Parivar Party,Jharkhand,Hazaribagh - 14
ABHISHEK KUMAR,Independent,Jharkhand,Hazaribagh - 14
NISHANT KUMAR SINHA,Peoples Party of India (Democratic),Jharkhand,Hazaribagh - 14
MANOJ KUMAR BEDIA,Independent,Jharkhand,Hazaribagh - 14
BHUNESHWAR BEDIYA,Samata Party,Jharkhand,Hazaribagh - 14
RAJ KUMAR,Jharkhand Party,Jharkhand,Hazaribagh - 14
SHYAM BIHARI PRAJAPATI,Bhagidari Party(P),Jharkhand,Hazaribagh - 14
PRAKASH SONI,Bhartiya Azad Sena,Jharkhand,Hazaribagh - 14
BIDYUT BARAN MAHATO,Bharatiya Janata Party,Jharkhand,Jamshedpur - 9
SAMIR KUMAR MOHANTY,Jharkhand Mukti Morcha,Jharkhand,Jamshedpur - 9
INDRA DEO PRASAD,Independent,Jharkhand,Jamshedpur - 9
ARUN MAHATO,Independent,Jharkhand,Jamshedpur - 9
ANAND MUKHI,Independent,Jharkhand,Jamshedpur - 9
PRANAV KUMAR MAHTO,Bahujan Samaj Party,Jharkhand,Jamshedpur - 9
BISHWANATH MAHATO,Independent,Jharkhand,Jamshedpur - 9
ANGAD MAHATO,Amra Bangalee,Jharkhand,Jamshedpur - 9
JUJHAR SOREN,Independent,Jharkhand,Jamshedpur - 9
SUKUMAR SOREN,Bharat Adivasi Party,Jharkhand,Jamshedpur - 9
DHARMU TUDU,Ambedkarite Party of India,Jharkhand,Jamshedpur - 9
JITENDRA SINGH,Independent,Jharkhand,Jamshedpur - 9
SANAKA MAHATO,Socialist Unity Centre Of India (COMMUNIST),Jharkhand,Jamshedpur - 9
MANOJ GUPTA,Lokhit Adhikar Party,Jharkhand,Jamshedpur - 9
SADHU CHARAN PAUL,Independent,Jharkhand,Jamshedpur - 9
SAURAV VISHNU,Independent,Jharkhand,Jamshedpur - 9
SHAIKH AKHIRUDDIN,Bahujan Maha Party,Jharkhand,Jamshedpur - 9
ASHOK KUMAR,Peoples Party of India (Democratic),Jharkhand,Jamshedpur - 9
MAHESH KUMAR,Right to Recall Party,Jharkhand,Jamshedpur - 9
G JAYRAM DAS,Independent,Jharkhand,Jamshedpur - 9
ARUN KUMAR SHARMA,Bhartiya Azad Sena,Jharkhand,Jamshedpur - 9
DOMAN CHANDRA BHAKAT,Bhagidari Party(P),Jharkhand,Jamshedpur - 9
BABLU PRASAD DANGI,Independent,Jharkhand,Jamshedpur - 9
GYAN SAGAR PRASAD,Independent,Jharkhand,Jamshedpur - 9
PARWATI KISKU,Independent,Jharkhand,Jamshedpur - 9
KALI CHARAN MUNDA,Indian National Congress,Jharkhand,Khunti - 11
ARJUN MUNDA,Bharatiya Janata Party,Jharkhand,Khunti - 11
SAVITRI DEVI,Bahujan Samaj Party,Jharkhand,Khunti - 11
BASANT KUMAR LONGA,Independent,Jharkhand,Khunti - 11
ARPANA HANS,Jharkhand Party,Jharkhand,Khunti - 11
PASTAR SANJAY KUMAR TIRKEY,Independent,Jharkhand,Khunti - 11
BABITA KACHHAP,Bharat Adivasi Party,Jharkhand,Khunti - 11
ANNPURNA DEVI,Bharatiya Janata Party,Jharkhand,Kodarma - 5
VINOD KUMAR SINGH,Communist Party of India (Marxist-Leninist) (Liberation),Jharkhand,Kodarma - 5
MANOJ KUMAR,Independent,Jharkhand,Kodarma - 5
JAI PRAKASH VERMA,Independent,Jharkhand,Kodarma - 5
SITAN RABIDAS,Bahujan Samaj Party,Jharkhand,Kodarma - 5
SURENDRA KUMAR AGRAWAL,Independent,Jharkhand,Kodarma - 5
SAHADAT ANSARI,Independent,Jharkhand,Kodarma - 5
JAYNARAYAN DAS,Bahujan Mukti Party,Jharkhand,Kodarma - 5
AKLESHWAR SAW,Lokhit Adhikar Party,Jharkhand,Kodarma - 5
JITLAL KISKU,Independent,Jharkhand,Kodarma - 5
MD. SAGIR,Independent,Jharkhand,Kodarma - 5
AJAY KRISHNA,Moolniwasi Samaj Party,Jharkhand,Kodarma - 5
RAJESH,Independent,Jharkhand,Kodarma - 5
RAMESHWAR PRASAD YADAV,Independent,Jharkhand,Kodarma - 5
ASHISH KUMAR,Right to Recall Party,Jharkhand,Kodarma - 5
SUKHDEO BHAGAT,Indian National Congress,Jharkhand,Lohardaga - 12
SAMIR ORAON,Bharatiya Janata Party,Jharkhand,Lohardaga - 12
CHAMRA LINDA,Independent,Jharkhand,Lohardaga - 12
MAHENDRA ORAON,Communist Party of India,Jharkhand,Lohardaga - 12
SHANIYA ORAON,Independent,Jharkhand,Lohardaga - 12
GIRJANANDAN URAON,Bahujan Samaj Party,Jharkhand,Lohardaga - 12
MARIANUS TIGGA,Independent,Jharkhand,Lohardaga - 12
STEPHAN KINDO,Independent,Jharkhand,Lohardaga - 12
BIHARI BHAGAT,Peoples Party of India (Democratic),Jharkhand,Lohardaga - 12
RANJEET BHAGAT,Independent,Jharkhand,Lohardaga - 12
RAMCHANDRA BHAGAT,Lokhit Adhikar Party,Jharkhand,Lohardaga - 12
PAWAN TIGGA,Independent,Jharkhand,Lohardaga - 12
ARPAN DEO BHAGAT,Independent,Jharkhand,Lohardaga - 12
ARJUN TOPPO,Independent,Jharkhand,Lohardaga - 12
MANI MUNDA,Bhagidari Party(P),Jharkhand,Lohardaga - 12
VISHNU DAYAL RAM,Bharatiya Janata Party,Jharkhand,Palamau - 13
MAMTA BHUIYAN,Rashtriya Janata Dal,Jharkhand,Palamau - 13
KAMESHWAR BAITHA,Bahujan Samaj Party,Jharkhand,Palamau - 13
SANAN RAM,Lokhit Adhikar Party,Jharkhand,Palamau - 13
GANESH RAVI,Independent,Jharkhand,Palamau - 13
BRAJESH KUMAR TURI,Rashtriya Samanta Dal,Jharkhand,Palamau - 13
VRINDA RAM,Peoples Party of India (Democratic),Jharkhand,Palamau - 13
MAHENDRA BAITHA,Socialist Unity Centre Of India (COMMUNIST),Jharkhand,Palamau - 13
RAM VACHAN RAM,Bahujan Mukti Party,Jharkhand,Palamau - 13
VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,Jharkhand,Rajmahal - 1
TALA MARANDI,Bharatiya Janata Party,Jharkhand,Rajmahal - 1
LOBIN HEMBRAM,Independent,Jharkhand,Rajmahal - 1
GOPIN SOREN,Communist Party of India (Marxist),Jharkhand,Rajmahal - 1
MAHESH PAHARIYA,Independent,Jharkhand,Rajmahal - 1
AJIT MARANDI,Rashtriya Jansambhavna Party,Jharkhand,Rajmahal - 1
SEBASTION HEMBROM,Independent,Jharkhand,Rajmahal - 1
MARIYAM MARANDI,Bahujan Samaj Party,Jharkhand,Rajmahal - 1
PAUL SOREN,All India Majlis-E-Ittehadul Muslimeen,Jharkhand,Rajmahal - 1
DIPA TUDU,Independent,Jharkhand,Rajmahal - 1
KHALIFA KISKU,Peoples Party of India (Democratic),Jharkhand,Rajmahal - 1
VINOD KUMAR MANDAL,Lokhit Adhikar Party,Jharkhand,Rajmahal - 1
MUNSHI KISKU,Navyug Pragatisheel Morcha,Jharkhand,Rajmahal - 1
LILI HANSDA,Samata Party,Jharkhand,Rajmahal - 1
SANJAY SETH,Bharatiya Janata Party,Jharkhand,Ranchi - 8
YASHASWINI SAHAY,Indian National Congress,Jharkhand,Ranchi - 8
DEVENDRA NATH MAHTO,Independent,Jharkhand,Ranchi - 8
SOMA SINGH,Jai Maha Bharath Party,Jharkhand,Ranchi - 8
NIPU SINGH,Rashtriya Jansangharsh Swaraj Party,Jharkhand,Ranchi - 8
DHANANJAY BHAGAT GANDHI,Mera Adhikaar Rashtriya Dal,Jharkhand,Ranchi - 8
SHYAM BIHARI PRAJAPATI,Bhagidari Party(P),Jharkhand,Ranchi - 8
MANOJ KUMAR,Bahujan Samaj Party,Jharkhand,Ranchi - 8
RAMHARI GOPE,Ambedkarite Party of India,Jharkhand,Ranchi - 8
ANJANI PANDEY,Independent,Jharkhand,Ranchi - 8
SARWESHWARI SAHU,Ekam Sanatan Bharat Dal,Jharkhand,Ranchi - 8
HARINATH SAHU,Lokhit Adhikar Party,Jharkhand,Ranchi - 8
HEMNTI DEVI,Samata Party,Jharkhand,Ranchi - 8
RANJANA GIRI,Republican Party of India (A),Jharkhand,Ranchi - 8
BIRENDRA NATH MANJHI,Abua Jharkhand Party,Jharkhand,Ranchi - 8
DHARMENDRA TIWARY,Bhartiya Jantantra Morcha,Jharkhand,Ranchi - 8
PRAWEEN KACHHAP,Sampoorna Bharat Kranti Party,Jharkhand,Ranchi - 8
PRABEEN CHANDRA MAHATO,Independent,Jharkhand,Ranchi - 8
SANTOSH KUMAR JAISWAL,Independent,Jharkhand,Ranchi - 8
PANKAJ KUMAR RAVI,Peoples Party of India (Democratic),Jharkhand,Ranchi - 8
MANORANJAN BHATTACHARYA,Independent,Jharkhand,Ranchi - 8
AINUL ANSARI,Independent,Jharkhand,Ranchi - 8
BINOD ORAON,Bahujan Mukti Party,Jharkhand,Ranchi - 8
MINTU PASWAN,Socialist Unity Centre Of India (COMMUNIST),Jharkhand,Ranchi - 8
KOLESHWAR MAHTO,Independent,Jharkhand,Ranchi - 8
KAMESHWAR PRASAD SAW,Independent,Jharkhand,Ranchi - 8
ARSHAD AYUB,Independent,Jharkhand,Ranchi - 8
JOBA MAJHI,Jharkhand Mukti Morcha,Jharkhand,Singhbhum - 10
GEETA KORA,Bharatiya Janata Party,Jharkhand,Singhbhum - 10
DAMODAR SINGH HANSDA,Independent,Jharkhand,Singhbhum - 10
MADHAV CHANDRA KUNKAL,Independent,Jharkhand,Singhbhum - 10
SANGRAM MARDI,Independent,Jharkhand,Singhbhum - 10
PARDESHI LAL MUNDA,Bahujan Samaj Party,Jharkhand,Singhbhum - 10
DURGA LAL MURMU,Independent,Jharkhand,Singhbhum - 10
CHITRASEN SINKU,Jharkhand Party,Jharkhand,Singhbhum - 10
BISHWA VIJAY MARDI,Ambedkarite Party of India,Jharkhand,Singhbhum - 10
ASHA KUMARI RUNDA,Independent,Jharkhand,Singhbhum - 10
KRISHNA MARDI,Jharkhand Mukti Morcha (Ulgulan),Jharkhand,Singhbhum - 10
SUDHA RANI BESRA,Peoples Party of India (Democratic),Jharkhand,Singhbhum - 10
BIR SINGH DEOGAM,Right to Recall Party,Jharkhand,Singhbhum - 10
PANMANI SINGH,Socialist Unity Centre Of India (COMMUNIST),Jharkhand,Singhbhum - 10
GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Bharatiya Janata Party,Karnataka,Bagalkot - 3
SAMYUKTA SHIVANAND PATIL,Indian National Congress,Karnataka,Bagalkot - 3
NAGARAJ. S. KALKUTAGAR,Independent,Karnataka,Bagalkot - 3
PARASHURAM. LAXMAN. NEELANAIK,Independent,Karnataka,Bagalkot - 3
ANTHOSH SAVVASE,Uttama Prajaakeeya Party,Karnataka,Bagalkot - 3
JYOTI GULEDGUDDA,Independent,Karnataka,Bagalkot - 3
M. B. SIDAGONI,Bahujan Samaj Party,Karnataka,Bagalkot - 3
DR. MUTTU. S. SURAKOD. (MADAR),Independent,Karnataka,Bagalkot - 3
PRASHANT RAO,Independent,Karnataka,Bagalkot - 3
DATTATREYA DASHARATHA TAVARE,Independent,Karnataka,Bagalkot - 3
AMBROSE D' MELLO,Independent,Karnataka,Bagalkot - 3
KENGANAL. MALLIKARJUN. BHIMAPPA,Independent,Karnataka,Bagalkot - 3
MALLIKARJUN H. T.,Socialist Unity Centre Of India (COMMUNIST),Karnataka,Bagalkot - 3
RAJESAB BURANSAB. MASALI,Independent,Karnataka,Bagalkot - 3
SHARANAPPA MALLAPPA KOTLANNAVAR,Independent,Karnataka,Bagalkot - 3
RAVI SHIVAPPA PADASALAGI,Independent,Karnataka,Bagalkot - 3
SAIYYAD IMAMSAB JAKALI,Tipu Sultan Party,Karnataka,Bagalkot - 3
ABDULAZIZ KALADAGI PENDARI,Independent,Karnataka,Bagalkot - 3
MUTTAPPA MUDAKAPPA HIREKUMBI,Raita Bharat Party,Karnataka,Bagalkot - 3
SAGAR. BASAPPA. KUMBAR,Karnataka Rashtra Samithi,Karnataka,Bagalkot - 3
S. M. MARIGOUDAR,Desh Prem Party,Karnataka,Bagalkot - 3
SHANKAR. VENKAPPA. NAIKAR.,Republican Party of India (A),Karnataka,Bagalkot - 3
P C MOHAN,Bharatiya Janata Party,Karnataka,Bangalore central - 25
MANSOOR ALI KHAN,Indian National Congress,Karnataka,Bangalore central - 25
SATISH CHANDRA. M.,Bahujan Samaj Party,Karnataka,Bangalore central - 25
JAYALAKSHMI SUNDARA RAJAN,Independent,Karnataka,Bangalore central - 25
SURESH BABU. M. C,Uttama Prajaakeeya Party,Karnataka,Bangalore central - 25
K. MANJUNATHA,Independent,Karnataka,Bangalore central - 25
S. M. KRISHNA,Independent,Karnataka,Bangalore central - 25
MURUGESH. R,Independent,Karnataka,Bangalore central - 25
UMA. V.,Independent,Karnataka,Bangalore central - 25
PRAKASH. K,Karnataka Rashtra Samithi,Karnataka,Bangalore central - 25
H. P. SHIVAPRAKASH,Socialist Unity Centre Of India (COMMUNIST),Karnataka,Bangalore central - 25
MODI SAIFULLA,Independent,Karnataka,Bangalore central - 25
ABHAYA SHEELA.,Rashtriya Samaj Dal (R),Karnataka,Bangalore central - 25
KARTHIK. K,Voters Independent Party,Karnataka,Bangalore central - 25
T.R. JAGANNATHA RAO,Bharatiya Prajagala Kalyana Paksha,Karnataka,Bangalore central - 25
VASANTH KUMAR ERAPPA,Independent,Karnataka,Bangalore central - 25
C.M. SHABAZ KHAN,Young Star Empowerment Party,Karnataka,Bangalore central - 25
WHITEFIELD MURUGESH .C,Republican Party of India (Karnataka),Karnataka,Bangalore central - 25
B. KRISHNA PRASAD,"Proutist Bloc, India",Karnataka,Bangalore central - 25
MUKTHAR ALI KHAN,Karnataka Karmikara Paksha,Karnataka,Bangalore central - 25
SYED ASIF BUKHARI,Independent,Karnataka,Bangalore central - 25
RANJITH VISHWA,Samajwadi Janata Party(Karnataka),Karnataka,Bangalore central - 25
RUMAN SHARIFFE,Independent,Karnataka,Bangalore central - 25
YALLAPPA.,Independent,Karnataka,Bangalore central - 25
SHOBHA KARANDLAJE,Bharatiya Janata Party,Karnataka,Bangalore North - 24
PROFESSOR M.V RAJEEV GOWDA,Indian National Congress,Karnataka,Bangalore North - 24
GOVINDAIAH,Bahujan Samaj Party,Karnataka,Bangalore North - 24
SANTHOSH M,Uttama Prajaakeeya Party,Karnataka,Bangalore North - 24
UDAYA SHANKAR.G,Prahar Janshakti Party,Karnataka,Bangalore North - 24
LAKSHMI SRIHARI.J.N.,Independent,Karnataka,Bangalore North - 24
DILIP KUMAR I.S.,Independent,Karnataka,Bangalore North - 24
K.M.MAHADEVA,Independent,Karnataka,Bangalore North - 24
K.V.NANJUNDASWAMY,Independent,Karnataka,Bangalore North - 24
SHOBHA,Independent,Karnataka,Bangalore North - 24
Y.R.KALLESHWARI,Samajwadi Janata Party(Karnataka),Karnataka,Bangalore North - 24
NIRMALA H.L,Socialist Unity Centre Of India (COMMUNIST),Karnataka,Bangalore North - 24
H.R.NATARAJ,Independent,Karnataka,Bangalore North - 24
BHASKAR ANKALAMADUGU SHIVAREDDY,Independent,Karnataka,Bangalore North - 24
SHIVAKUMAR. B,Karnataka Rashtra Samithi,Karnataka,Bangalore North - 24
SUDHA. V,Independent,Karnataka,Bangalore North - 24
KRISHNAIAH,Rashtriya Samaj Dal (R),Karnataka,Bangalore North - 24
HEBBAL VENKATESH.J,Republican Party of India (A),Karnataka,Bangalore North - 24
"GLOBE STAR J. JAI SIMHA VARMA, B E.",Gareeb Aadmi Party,Karnataka,Bangalore North - 24
SHOBAN BABU V,Indian Labour Party (Ambedkar Phule),Karnataka,Bangalore North - 24
PARASAPPA BHEEMAPPA GAJJERI,Rani Chennamma Party,Karnataka,Bangalore North - 24
DR C N MANJUNATH,Bharatiya Janata Party,Karnataka,Bangalore Rural - 23
D K SURESH,Indian National Congress,Karnataka,Bangalore Rural - 23
ABHISHEK K,Uttama Prajaakeeya Party,Karnataka,Bangalore Rural - 23
SURESH M N,Independent,Karnataka,Bangalore Rural - 23
HEMAVATHI K,Socialist Unity Centre Of India (COMMUNIST),Karnataka,Bangalore Rural - 23
J T PRAKASH,Independent,Karnataka,Bangalore Rural - 23
N KRISHNAPPA,Pyramid Party of India,Karnataka,Bangalore Rural - 23
C N MANJUNATHA,Bahujan Bharat Party,Karnataka,Bangalore Rural - 23
KUMAR L,Bharatiya Prajagala Kalyana Paksha,Karnataka,Bangalore Rural - 23
MAHAMAD MUSADIK PASHA,Karnataka Rashtra Samithi,Karnataka,Bangalore Rural - 23
NARASIMHAMURTHY J P,Independent,Karnataka,Bangalore Rural - 23
SURESH S,Karunaadu Party,Karnataka,Bangalore Rural - 23
VASIST J,Country Citizen Party,Karnataka,Bangalore Rural - 23
MOHAMMAD DASTAGEER,Young Star Empowerment Party,Karnataka,Bangalore Rural - 23
H V CHANDRASHEKAR,Viduthalai Chiruthaigal Katchi,Karnataka,Bangalore Rural - 23
TEJASVI SURYA,Bharatiya Janata Party,Karnataka,Bangalore South - 26
SOWMYA REDDY,Indian National Congress,Karnataka,Bangalore South - 26
ARUN PRASAD.A,Bahujan Samaj Party,Karnataka,Bangalore South - 26
TINTISHA HEMACHANDRA SAGAR,Independent,Karnataka,Bangalore South - 26
VATAL NAGARAJ,Kannada Chalavali Vatal Paksha,Karnataka,Bangalore South - 26
KEMPEGOWDA,Navabharath Sena,Karnataka,Bangalore South - 26
TEJASWINI DHANANJAY,Independent,Karnataka,Bangalore South - 26
BALAKRISHNA.M.,Uttama Prajaakeeya Party,Karnataka,Bangalore South - 26
JAYAPAL.D,Independent,Karnataka,Bangalore South - 26
RANJITH GOWDA,Independent,Karnataka,Bangalore South - 26
V.RAJKUMAR VCK,Independent,Karnataka,Bangalore South - 26
RAGHUPATHI BHAT,Karnataka Rashtra Samithi,Karnataka,Bangalore South - 26
DR HARISH GOWDA,Independent,Karnataka,Bangalore South - 26
CHETAN CHAMAN,Country Citizen Party,Karnataka,Bangalore South - 26
A . RAJ.,Independent,Karnataka,Bangalore South - 26
K. C. JANARDHAN,Independent,Karnataka,Bangalore South - 26
KANTHAKUMAR.R.,Independent,Karnataka,Bangalore South - 26
KARAVALI MANJUNATH. BE,Rashtriya Samaj Dal (R),Karnataka,Bangalore South - 26
C M. SHABAZ KHAN,Young Star Empowerment Party,Karnataka,Bangalore South - 26
ASGAR A MOHIN.S.M.,Independent,Karnataka,Bangalore South - 26
SUBRAHMANYA KUMAR KUNTIKANAMATA,Independent,Karnataka,Bangalore South - 26
DR.R.SHEKAR THIRUMAVALVAN,Independent,Karnataka,Bangalore South - 26
JAGADISH SHETTAR,Bharatiya Janata Party,Karnataka,Belgaum - 2
MRINAL R HEBBALKAR,Indian National Congress,Karnataka,Belgaum - 2
MAHADEV PATIL,Independent,Karnataka,Belgaum - 2
BASAPPA GURUSIDDAPPA KUMBAR,Karnataka Rashtra Samithi,Karnataka,Belgaum - 2
ASHOK APPAYA APPUGOL,Bahujan Samaj Party,Karnataka,Belgaum - 2
RAVI SHIVAPPA PADASALAGI,Independent,Karnataka,Belgaum - 2
VIJAY S METHRANI,Independent,Karnataka,Belgaum - 2
PRAJAAKEEYA MALLAPPA CHOGALA (PREM),Uttama Prajaakeeya Party,Karnataka,Belgaum - 2
LAXMAN JADAGANNAVAR,Socialist Unity Centre Of India (COMMUNIST),Karnataka,Belgaum - 2
NITIN ASHOK MHADAGUT,Independent,Karnataka,Belgaum - 2
PUNDALIK ITNAL,Independent,Karnataka,Belgaum - 2
ASHOK P HANAJI,Independent,Karnataka,Belgaum - 2
ASHPAKAHMAD USTAD,Independent,Karnataka,Belgaum - 2
E. TUKARAM,Indian National Congress,Karnataka,Bellary - 9
B. SREERAMULU,Bharatiya Janata Party,Karnataka,Bellary - 9
VALMIKI KRISHNAPPA,Bahujan Samaj Party,Karnataka,Bellary - 9
C. CHANNAVEERA,Karnataka Rashtra Samithi,Karnataka,Bellary - 9
CONDUCTOR PAMPAPATHI,Independent,Karnataka,Bellary - 9
VEERESH,Independent,Karnataka,Bellary - 9
A. DEVADAS,Socialist Unity Centre Of India (COMMUNIST),Karnataka,Bellary - 9
MANJUNATHA GOSAL,Prahar Janshakti Party,Karnataka,Bellary - 9
ARUN.S.HIREHAL,Independent,Karnataka,Bellary - 9
G. SWAMY,Navabharath Sena,Karnataka,Bellary - 9
SAGAR ESHWAR KHANDRE,Indian National Congress,Karnataka,Bidar - 7
BHAGWANTH KHUBA,Bharatiya Janata Party,Karnataka,Bidar - 7
AMBADAS SOPANRAO HULSURE,Bahujan Bharat Party,Karnataka,Bidar - 7
PUTARAJ,Bahujan Samaj Party,Karnataka,Bidar - 7
DR. DINKAR MORE,Independent,Karnataka,Bidar - 7
SRI ROPH ABDUL GANI,Independent,Karnataka,Bidar - 7
SHIVRAJ ADIVEPPA SATWAR,Independent,Karnataka,Bidar - 7
RAMVILAS RAMULALJI NAVANDAR,Independent,Karnataka,Bidar - 7
RIYAZ AHMED,Independent,Karnataka,Bidar - 7
MOHD. SHAFEEQ UR RAHAMAN,All India Ulama Congress,Karnataka,Bidar - 7
JAIRAJ KASHAPPA BUKKA ADVOCATE,Independent,Karnataka,Bidar - 7
BALBHEEM UNNE,Independent,Karnataka,Bidar - 7
WASEEMUDDIN,Independent,Karnataka,Bidar - 7
MAHESH GORNALKAR,Republican Party of India (A),Karnataka,Bidar - 7
DILIP KADWAD,Independent,Karnataka,Bidar - 7
GOPAL M.P. GARAMPALLI,Independent,Karnataka,Bidar - 7
RAMESH J CHAVAN,Karnataka Rashtra Samithi,Karnataka,Bidar - 7
RAMCHANDRA NARAYAN KACHAVE,Kranti Kari Jai Hind Sena,Karnataka,Bidar - 7
RAMESH JIGAJINAGI,Bharatiya Janata Party,Karnataka,Bijapur - 4
RAJU ALAGUR.,Indian National Congress,Karnataka,Bijapur - 4
GANAPATI RATHOD (HANJAGI),Karnataka Rashtra Samithi,Karnataka,Bijapur - 4
BHOVI TARABAI,Independent,Karnataka,Bijapur - 4
RAMJI YAMANAPPA BUDDHAPRIYA,Naki Bharatiya Ekta Party,Karnataka,Bijapur - 4
NAGAJYOTI.B.N.,Socialist Unity Centre Of India (COMMUNIST),Karnataka,Bijapur - 4
RAJAKUMAR APPANNA HONNAKATTI,Rashtriya Samaj Paksha,Karnataka,Bijapur - 4
JITENDRA.ASHOK. KAMBLE,Republican Party of India (A),Karnataka,Bijapur - 4
SUNIL BOSE,Indian National Congress,Karnataka,Chamarajanagar - 22
BALARAJ.S,Bharatiya Janata Party,Karnataka,Chamarajanagar - 22
M.KRISHNA MURTHY,Bahujan Samaj Party,Karnataka,Chamarajanagar - 22
C.M.KRISHNA,Dr. Ambedkar People's Party,Karnataka,Chamarajanagar - 22
G.D.RAJAGOPAL (H.D.KOTE),Independent,Karnataka,Chamarajanagar - 22
SUMA.S,Socialist Unity Centre Of India (COMMUNIST),Karnataka,Chamarajanagar - 22
MAHADEVASWAMY B M (PAMPI),Independent,Karnataka,Chamarajanagar - 22
H.K.SWAMY HARADANAHALLI,Independent,Karnataka,Chamarajanagar - 22
PATAS PRADEEP KUMAR.M,Independent,Karnataka,Chamarajanagar - 22
KADAMBA. NAA. AMBARISH,Independent,Karnataka,Chamarajanagar - 22
NINGARAJU.S,Karnataka Jantha Paksha,Karnataka,Chamarajanagar - 22
KANDALLI MAHESH,Karnataka Rashtra Samithi,Karnataka,Chamarajanagar - 22
NINGARAJ.G,Independent,Karnataka,Chamarajanagar - 22
PRASANNA KUMAR.B,Karnataka Praja Party (RaithaParva),Karnataka,Chamarajanagar - 22
DR.K.SUDHAKAR,Bharatiya Janata Party,Karnataka,Chikkballapur - 27
M.S. RAKSHA RAMAIAH,Indian National Congress,Karnataka,Chikkballapur - 27
MUNIVENKATAPPA M.P,Communist Party of India (Marxist),Karnataka,Chikkballapur - 27
MAHADEV. P,Bahujan Samaj Party,Karnataka,Chikkballapur - 27
RAJANNA,Independent,Karnataka,Chikkballapur - 27
RAJA REDDY,Independent,Karnataka,Chikkballapur - 27
KALAVATHI. N,Socialist Unity Centre Of India (COMMUNIST),Karnataka,Chikkballapur - 27
VALASAPALLI UTAPPA,Independent,Karnataka,Chikkballapur - 27
VENKATESHMURTHY.V,Uttama Prajaakeeya Party,Karnataka,Chikkballapur - 27
D. SUDHAKARA,Independent,Karnataka,Chikkballapur - 27
SUDHAKAR. N,Independent,Karnataka,Chikkballapur - 27
G N RAVI,Independent,Karnataka,Chikkballapur - 27
BHASKAR ANKALAMADUGU SHIVAREDDY,Independent,Karnataka,Chikkballapur - 27
CHANDRASHEKAR. H.C,Independent,Karnataka,Chikkballapur - 27
MOHITH NARASIMHAMURTHY,Independent,Karnataka,Chikkballapur - 27
V.N. NARASIMHAMURTHY VADIGERE,Independent,Karnataka,Chikkballapur - 27
G.N. VENKATESH B.A.L.L.B,Independent,Karnataka,Chikkballapur - 27
DEVARAJ CORONA WARRIOR,Independent,Karnataka,Chikkballapur - 27
G SUBRAMANI SHETTY,Karnataka Rashtra Samithi,Karnataka,Chikkballapur - 27
DR. M.R. RANGANATHA,Independent,Karnataka,Chikkballapur - 27
